milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
1523632018534,0,119,-56,-1,-1,0
1523632018534,-327680,119,-56,-1,-1,0
1523632018534,-589824,119,-56,-1,-1,0
1523632018534,-655360,119,-56,-1,-1,0
1523632018534,-655360,119,-56,-1,-1,0
1523632018577,-655360,119,-56,-1,-1,0
1523632018577,-786432,119,-56,-1,-1,0
1523632018577,-786432,119,-56,-1,-1,0
1523632018577,-851968,119,-56,-1,-1,0
1523632018577,-786432,119,-56,-1,-1,0
1523632018614,-1114112,119,-56,-1,-1,0
1523632018614,-1441792,119,-56,-1,-1,0
1523632018614,-1638400,119,-56,-1,-1,0
1523632018614,-1835008,119,-56,-1,-1,0
1523632018614,-1835008,119,-56,-1,-1,0
1523632018654,-1638400,119,-56,-1,-1,0
1523632018654,-1245184,119,-56,-1,-1,0
1523632018654,-917504,119,-56,-1,-1,0
1523632018654,-786432,119,-56,-1,-1,0
1523632018654,-917504,119,-56,-1,-1,0
1523632018695,-1114112,119,-56,-1,-1,0
1523632018695,-1310720,119,-56,-1,-1,0
1523632018695,-1376256,119,-56,-1,-1,0
1523632018695,-1310720,119,-56,-1,-1,0
1523632018695,-1245184,119,-56,-1,-1,0
1523632018733,-786432,119,-56,-1,-1,0
1523632018733,1703936,119,-56,-1,-1,0
1523632018733,6422528,119,-56,-1,-1,0
1523632018733,7274496,119,-56,-1,-1,0
1523632018733,1048576,119,-56,-1,-1,0
1523632018774,-5701632,119,-56,-1,-1,0
1523632018774,-6488064,119,-56,-1,-1,0
1523632018774,-3997696,119,-56,-1,-1,0
1523632018774,-2228224,119,-56,-1,-1,0
1523632018774,-1507328,119,-56,-1,-1,0
1523632018813,-1310720,119,-56,-1,-1,0
1523632018813,-1179648,119,-56,-1,-1,0
1523632018813,-1179648,119,-56,-1,-1,0
1523632018813,-1114112,119,-56,-1,-1,0
1523632018813,-917504,119,-56,-1,-1,0
1523632018854,-720896,119,-56,-1,-1,0
1523632018854,-655360,119,-56,-1,-1,0
1523632018854,-524288,119,-56,-1,-1,0
1523632018854,-262144,119,-56,-1,-1,0
1523632018854,-65536,119,-56,-1,-1,0
1523632018893,131072,119,-56,-1,-1,0
1523632018893,458752,119,-56,-1,-1,0
1523632018893,720896,119,-56,-1,-1,0
1523632018893,983040,119,-56,-1,-1,0
1523632018893,1376256,119,-56,-1,-1,0
1523632018933,1900544,119,-56,-1,-1,0
1523632018933,2359296,119,-56,-1,-1,0
1523632018933,2686976,119,-56,-1,-1,0
1523632018933,2949120,119,-56,-1,-1,0
1523632018933,3211264,119,-56,-1,-1,0
1523632018973,3211264,119,-56,-1,-1,0
1523632018973,2883584,119,-56,-1,-1,0
1523632018973,2359296,119,-56,-1,-1,0
1523632018973,1769472,119,-56,-1,-1,0
1523632018973,1114112,119,-56,-1,-1,0
1523632019013,589824,119,-56,-1,-1,0
1523632019013,262144,119,-56,-1,-1,0
1523632019013,0,119,-56,-1,-1,0
1523632019013,-262144,119,-56,-1,-1,0
1523632019013,-393216,119,-56,-1,-1,0
1523632019053,-393216,119,-56,-1,-1,0
1523632019053,-458752,119,-56,-1,-1,0
1523632019053,-655360,119,-56,-1,-1,0
1523632019053,-786432,119,-56,-1,-1,0
1523632019053,-786432,119,-56,-1,-1,0
1523632019093,-851968,119,-56,-1,-1,0
1523632019093,-851968,119,-56,-1,-1,0
1523632019093,-1048576,119,-56,-1,-1,0
1523632019093,-1310720,119,-56,-1,-1,0
1523632019093,-1507328,119,-56,-1,-1,0
1523632019133,-1572864,119,-56,-1,-1,0
1523632019133,-1703936,119,-56,-1,-1,0
1523632019133,-1703936,119,-56,-1,-1,0
1523632019133,-1310720,119,-56,-1,-1,0
1523632019133,-917504,119,-56,-1,-1,0
1523632019173,-655360,119,-56,-1,-1,0
1523632019173,-786432,119,-56,-1,-1,0
1523632019173,-1048576,119,-56,-1,-1,0
1523632019173,-1310720,119,-56,-1,-1,0
1523632019173,-1310720,119,-56,-1,-1,0
1523632019218,-1310720,119,-56,-1,-1,0
1523632019218,-1245184,119,-56,-1,-1,0
1523632019218,-524288,119,-56,-1,-1,0
1523632019218,2949120,119,-56,-1,-1,0
1523632019218,8257536,119,-56,-1,-1,0
1523632019253,8585216,119,-56,-1,-1,0
1523632019253,1507328,119,-56,-1,-1,0
1523632019253,-4718592,119,-56,-1,-1,0
1523632019253,-5046272,119,-56,-1,-1,0
1523632019253,-2818048,119,-56,-1,-1,0
1523632019293,-1703936,119,-56,-1,-1,0
1523632019293,-1245184,119,-56,-1,-1,0
1523632019293,-1114112,119,-56,-1,-1,0
1523632019293,-1048576,119,-56,-1,-1,0
1523632019293,-1048576,119,-56,-1,-1,0
1523632019333,-983040,119,-56,-1,-1,0
1523632019333,-851968,119,-56,-1,-1,0
1523632019333,-786432,119,-56,-1,-1,0
1523632019333,-589824,119,-56,-1,-1,0
1523632019333,-393216,119,-56,-1,-1,0
1523632019373,-131072,119,-56,-1,-1,0
1523632019373,131072,119,-56,-1,-1,0
1523632019373,327680,119,-56,-1,-1,0
1523632019373,524288,119,-56,-1,-1,0
1523632019373,655360,119,-56,-1,-1,0
1523632019413,983040,119,-56,-1,-1,0
1523632019413,1310720,119,-56,-1,-1,0
1523632019413,1703936,119,-56,-1,-1,0
1523632019413,1966080,119,-56,-1,-1,0
1523632019413,2359296,119,-56,-1,-1,0
1523632019453,2818048,119,-56,-1,-1,0
1523632019453,3080192,119,-56,-1,-1,0
1523632019453,2949120,119,-56,-1,-1,0
1523632019453,2818048,119,-56,-1,-1,0
1523632019453,2424832,119,-56,-1,-1,0
1523632019493,1966080,119,-56,-1,-1,0
1523632019493,1441792,119,-56,-1,-1,0
1523632019493,917504,119,-56,-1,-1,0
1523632019493,458752,119,-56,-1,-1,0
1523632019493,131072,119,-56,-1,-1,0
1523632019534,-65536,119,-56,-1,-1,0
1523632019534,-262144,119,-56,-1,-1,0
1523632019534,-524288,119,-56,-1,-1,0
1523632019534,-786432,119,-56,-1,-1,0
1523632019534,-851968,119,-56,-1,-1,0
1523632019573,-655360,119,-56,-1,-1,0
1523632019573,-589824,119,-56,-1,-1,0
1523632019573,-655360,119,-56,-1,-1,0
1523632019573,-720896,119,-56,-1,-1,0
1523632019573,-786432,119,-56,-1,-1,0
1523632019613,-1048576,119,-56,-1,-1,0
1523632019613,-1310720,119,-56,-1,-1,0
